risk_tier,n_samples,actual_approval_rate,predicted_approval_rate,accuracy,precision,recall,f1,auc,tp,fp,fn,tn
Low,299847,0.43072633709858693,0.0,0.569273662901413,0.0,0.0,0.0,0.7093852335837287,0,0,129152,170695
Medium,428650,0.7954368365799603,0.6646914732299078,0.6465507990201796,0.8324757826758389,0.695642355204655,0.7579327798761432,0.6093925633629941,237189,47731,103775,39955
High,461583,0.9348827838113623,1.0,0.9348827838113623,0.9348827838113623,1.0,0.9663456532181403,0.6005455901790535,431526,30057,0,0
