model,split,threshold,n,auc,pr_auc,brier,ks,accuracy,precision,recall,f1,tp,fp,fn,tn,positive_rate_predicted,positive_rate_actual
GBM (F1-threshold),Test,0.2575,1190080,0.8127,0.9189,0.1738,0.4722,0.8136,0.8253,0.9565,0.8861,862418,182569,39224,105869,0.8781,0.7576
LogReg (F1-threshold),Test,0.2476,1190080,0.7442,0.8856,0.2068,0.3878,0.7709,0.7839,0.9632,0.8643,868483,239457,33159,48981,0.931,0.7576
